event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,date,location,winner,winner_id,event_status,r_nick_name,r_height,r_weight,r_reach,r_stance,r_dob,r_wins,r_losses,r_draws,b_nick_name,b_height,b_weight,b_reach,b_stance,b_dob,b_wins,b_losses,b_draws
UFC 299: O'Malley vs. Vera 2,a9df5ae20a97b090,68f7f992603192c6,Gilbert Burns,23024fdfc966410a,Jack Della Maddalena,6b453bc35a823c3f,welterweight,0,KO/TKO,3.0,223.0,3.0,Dan Miragliotta,0.0,27.0,58.0,46.0,31.0,63.0,49.0,7.0,11.0,63.0,0.0,307.0,16.0,43.0,37.0,8.0,11.0,73.0,3.0,4.0,75.0,23.0,52.0,44.0,3.0,5.0,60.0,1.0,1.0,100.0,59.0,29.0,11.0,85.0,11.0,3.0,1.0,67.0,123.0,54.0,85.0,146.0,57.0,0.0,1.0,0.0,0.0,16.0,54.0,104.0,52.0,9.0,15.0,60.0,4.0,4.0,100.0,47.0,100.0,47.0,4.0,6.0,67.0,16.0,17.0,94.0,80.0,13.0,5.0,70.0,5.0,23.0,"March 09, 2024","Miami, Florida, USA",Jack Della Maddalena,6b453bc35a823c3f,,Durinho,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",22,10,0,,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",18,4,0
UFC Fight Night: Hall vs. Silva,ad044be25c94dcfd,83955de599b2d874,Bryce Mitchell,d9c6f19f958643e9,Andre Fili,8fd808923cffff82,featherweight,0,Decision - Unanimous,3.0,300.0,3.0,Keith Peterson,0.0,46.0,69.0,66.0,100.0,135.0,74.0,7.0,13.0,53.0,1.0,612.0,28.0,49.0,56.0,14.0,15.0,93.0,4.0,5.0,80.0,29.0,42.0,69.0,0.0,0.0,,17.0,27.0,63.0,60.0,30.0,8.0,63.0,0.0,36.0,0.0,27.0,72.0,37.0,51.0,97.0,53.0,0.0,0.0,,0.0,34.0,19.0,62.0,31.0,5.0,7.0,71.0,3.0,3.0,100.0,23.0,67.0,34.0,0.0,0.0,,4.0,5.0,80.0,70.0,18.0,11.0,85.0,0.0,14.0,"October 31, 2020","Las Vegas, Nevada, USA",Bryce Mitchell,d9c6f19f958643e9,,Thug Nasty,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 04, 1994",18,4,0,Touchy,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",25,13,0
UFC Fight Night: Rodriguez vs. Penn,46effbd1135423c5,3f7684492c9df05e,Walt Harris,03f982ca3735070c,Chase Sherman,01b352b6a9074d5c,heavyweight,0,KO/TKO,2.0,161.0,3.0,Al Guinee,1.0,32.0,73.0,43.0,33.0,74.0,45.0,0.0,1.0,0.0,0.0,2.0,24.0,58.0,41.0,6.0,13.0,46.0,2.0,2.0,100.0,29.0,67.0,43.0,1.0,4.0,25.0,2.0,2.0,100.0,75.0,18.0,6.0,90.0,3.0,6.0,0.0,20.0,63.0,31.0,20.0,63.0,32.0,0.0,0.0,,0.0,0.0,6.0,42.0,14.0,9.0,15.0,60.0,5.0,6.0,83.0,20.0,63.0,32.0,0.0,0.0,,0.0,0.0,,30.0,45.0,25.0,100.0,0.0,0.0,"January 15, 2017","Phoenix, Arizona, USA",Walt Harris,03f982ca3735070c,,The Big Ticket,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",13,10,0,The Vanilla Gorilla,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989",16,12,0
UFC 107: Penn vs Sanchez,821cd80aab70d5f9,afd5e85676eb697d,Johny Hendricks,0941df56f6ac954b,Ricardo Funch,e9e1acc96536bb4f,welterweight,0,Decision - Unanimous,3.0,300.0,3.0,Dan Miragliotta,0.0,49.0,83.0,59.0,114.0,155.0,74.0,7.0,14.0,50.0,4.0,595.0,36.0,66.0,55.0,6.0,9.0,67.0,7.0,8.0,88.0,10.0,29.0,34.0,30.0,42.0,71.0,9.0,12.0,75.0,73.0,12.0,14.0,20.0,61.0,18.0,0.0,16.0,26.0,61.0,28.0,39.0,72.0,1.0,6.0,16.0,0.0,130.0,6.0,13.0,46.0,6.0,9.0,67.0,4.0,4.0,100.0,6.0,11.0,55.0,10.0,15.0,67.0,0.0,0.0,,37.0,37.0,25.0,37.0,62.0,0.0,"December 12, 2009","Memphis, Tennessee, USA",Johny Hendricks,0941df56f6ac954b,,Bigg Rigg,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983",18,8,0,Golden Boy,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",9,6,0
UFC on FX: Maynard vs Guida,505934897b8b4824,179426f56818a1c9,Ken Stone,fbf0947399d14323,Dustin Pague,55f80a8aeffcdb33,bantamweight,0,Decision - Split,3.0,300.0,3.0,Gasper Oliver,0.0,63.0,119.0,52.0,88.0,149.0,59.0,0.0,3.0,0.0,0.0,307.0,31.0,86.0,36.0,5.0,5.0,100.0,27.0,28.0,96.0,44.0,97.0,45.0,19.0,19.0,100.0,0.0,3.0,0.0,49.0,7.0,42.0,69.0,30.0,0.0,0.0,41.0,90.0,45.0,47.0,96.0,49.0,0.0,3.0,0.0,0.0,1.0,14.0,59.0,24.0,9.0,11.0,82.0,18.0,20.0,90.0,37.0,86.0,43.0,4.0,4.0,100.0,0.0,0.0,,34.0,21.0,43.0,90.0,9.0,0.0,"June 22, 2012","Atlantic City, New Jersey, USA",Ken Stone,fbf0947399d14323,,,"5' 8""",135 lbs.,"71""",Southpaw,"Oct 08, 1982",11,4,0,The Disciple,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 05, 1987",12,11,0
UFC 222: Cyborg vs. Kunitskaya,7929be8290289a47,bfb7d17161aec938,Stefan Struve,ebc1f40e00e0c481,Andrei Arlovski,3738e68d2261e60f,heavyweight,0,Decision - Unanimous,3.0,300.0,3.0,Herb Dean,0.0,34.0,74.0,45.0,37.0,78.0,47.0,0.0,3.0,0.0,0.0,77.0,9.0,40.0,23.0,8.0,16.0,50.0,17.0,18.0,94.0,32.0,69.0,46.0,0.0,0.0,,2.0,5.0,40.0,26.0,23.0,50.0,94.0,0.0,5.0,0.0,46.0,88.0,52.0,76.0,121.0,63.0,4.0,9.0,44.0,0.0,271.0,12.0,42.0,28.0,16.0,26.0,62.0,18.0,20.0,90.0,42.0,82.0,51.0,2.0,3.0,67.0,2.0,3.0,67.0,26.0,34.0,39.0,91.0,4.0,4.0,"March 03, 2018","Las Vegas, Nevada, USA",Andrei Arlovski,3738e68d2261e60f,,Skyscraper,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",33,13,0,The Pitbull,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",34,24,0
UFC Fight Night: Dolidze vs. Imavov,cce79e827569f26e,733e675fd7c0052a,Renato Moicano,b6452706b373eea1,Drew Dober,519e4fe37ce9ff75,lightweight,0,Decision - Unanimous,3.0,300.0,3.0,Mark Smith,0.0,23.0,42.0,54.0,142.0,177.0,80.0,3.0,6.0,50.0,0.0,633.0,20.0,39.0,51.0,2.0,2.0,100.0,1.0,1.0,100.0,10.0,27.0,37.0,1.0,2.0,50.0,12.0,13.0,92.0,86.0,8.0,4.0,43.0,4.0,52.0,0.0,23.0,59.0,38.0,36.0,73.0,49.0,1.0,2.0,50.0,0.0,62.0,17.0,50.0,34.0,4.0,7.0,56.0,2.0,2.0,100.0,19.0,52.0,37.0,1.0,1.0,100.0,3.0,6.0,50.0,73.0,17.0,8.0,82.0,4.0,13.0,"February 03, 2024","Las Vegas, Nevada, USA",Renato Moicano,b6452706b373eea1,,,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",21,7,1,,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",29,15,0
UFC Fight Night: Brown vs Silva,579fcdfcabd23a7b,f8cceeabeb2afd4d,Matt Brown,31123249b0bbf52e,Erick Silva,5866fc86183a9fb8,welterweight,0,KO/TKO,3.0,131.0,5.0,Herb Dean,0.0,118.0,166.0,71.0,161.0,213.0,76.0,5.0,5.0,100.0,4.0,228.0,101.0,144.0,70.0,16.0,21.0,76.0,1.0,1.0,100.0,44.0,70.0,63.0,37.0,48.0,77.0,37.0,48.0,77.0,85.0,13.0,0.0,37.0,31.0,31.0,1.0,25.0,54.0,46.0,39.0,71.0,55.0,0.0,3.0,0.0,1.0,227.0,17.0,40.0,42.0,6.0,12.0,50.0,2.0,2.0,100.0,13.0,41.0,32.0,3.0,4.0,75.0,9.0,9.0,100.0,68.0,24.0,8.0,52.0,12.0,36.0,"May 10, 2014","Cincinnati, Ohio, USA",Matt Brown,31123249b0bbf52e,,The Immortal,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",26,19,0,,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984",19,9,0
UFC Fight Night: Moraes vs. Sandhagen,fd4578cac86d75ca,ee57cbd0b68c689d,Impa Kasanganay,257b0c8d6f199895,Joaquin Buckley,b9437600497350f3,middleweight,0,KO/TKO,2.0,123.0,3.0,Kevin Sataki,0.0,28.0,79.0,35.0,31.0,85.0,36.0,0.0,0.0,,0.0,0.0,17.0,64.0,27.0,5.0,8.0,62.0,6.0,7.0,86.0,28.0,79.0,35.0,0.0,0.0,,0.0,0.0,,60.0,17.0,21.0,100.0,0.0,0.0,1.0,29.0,94.0,30.0,29.0,95.0,31.0,1.0,2.0,50.0,0.0,63.0,19.0,79.0,24.0,5.0,10.0,50.0,5.0,5.0,100.0,25.0,88.0,28.0,2.0,3.0,67.0,2.0,3.0,67.0,65.0,17.0,17.0,86.0,6.0,6.0,"October 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Joaquin Buckley,b9437600497350f3,,Tshilobo,"5' 11""",170 lbs.,"75""",Orthodox,"Jan 17, 1994",9,2,0,New Mansa,"5' 10""",170 lbs.,"76""",Southpaw,"Apr 27, 1994",21,8,0
UFC Fight Night: Nelson vs Story,8dc4f34c1f50d00d,699a70c8fb3c0273,Ilir Latifi,e9a3aeb207578eea,Jan Blachowicz,99df7d0a2a08a8a8,light heavyweight,0,KO/TKO,1.0,118.0,3.0,Grant Waterman,0.0,2.0,6.0,33.0,2.0,6.0,33.0,0.0,0.0,,0.0,0.0,2.0,6.0,33.0,0.0,0.0,,0.0,0.0,,2.0,6.0,33.0,0.0,0.0,,0.0,0.0,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,20.0,65.0,14.0,21.0,67.0,0.0,0.0,,0.0,6.0,9.0,15.0,60.0,1.0,2.0,50.0,3.0,3.0,100.0,6.0,12.0,50.0,0.0,0.0,,7.0,8.0,88.0,69.0,7.0,23.0,46.0,0.0,53.0,"October 04, 2014","Stockholm, Sweden",Jan Blachowicz,99df7d0a2a08a8a8,,The Sledgehammer,"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",17,9,0,,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",29,11,2
