r_name,b_name,r_odd,b_odd
"Movsar Evloev","Lerone Murphy","1.40","3.05"
"Luke Riley","Michael Aswell Jr.","1.50","2.60"
"Michael Page","Sam Patterson","1.52","2.60"
"Iwo Baraniewski","Austen Lane","1.14","6.00"
"Roman Dolidze","Christian Leroy Duncan","4.50","1.22"
"9d51798e61f2e0c7","d964a59c48381cb6","1.41","2.95"
"Mason Jones","Axel Sola","1.66","2.25"
"329e403448756217","5b43d68174b6e2ab","3.20","1.37"
"39d309957c5c210d","e564146b9cf6dbef","1.11","7.00"
"3cc506f115cbb9d5","6d48a2df51749d91","1.12","6.50"
"Louie Sutherland","Brando Pericic","3.05","1.40"
"52b6bf4528130e86","597499ac7a5aac62","2.05","1.80"
"cfbb3edab781dfd2","4948e412fa6ab67d","1.80","2.05"
"Melissa Mullins","Luana Carolina","1.90","1.90"
