id,name,nick_name,wins,losses,draws
d61316139d68dbe3,Roman Bogatov,,10,1,0
b4537562f88ac582,Khalid Taha,The Warrior,13,5,0
56116a79e4deed06,Claude Patrick,The Prince,14,2,0
d5bab53a1a603aac,Ryan Loder,Man of Steel,8,3,0
8fd808923cffff82,Andre Fili,Touchy,25,12,0
6a2f7c151031653d,Rafael Dos Anjos,,32,17,0
b2a2da86546ddb19,Buddy Roberts,,12,3,0
d35298b6df168456,Talita Alencar,Problem Child,7,1,1
89a407032911e27e,Brendan Schaub,Big Brown,10,5,0
ec18eb918121787c,Kazula Vargas,,12,5,0
7ff97850e8c32bda,Glover Teixeira,,33,9,0
5f3805dda9661cba,Jason Witt,The Vanilla Gorilla,19,9,0
5fa2974cbd18e05c,John Castaneda,Sexi Mexi,21,8,0
af90b10c785ced3e,Mike Rio,The Wolverine,10,5,0
084532da3d25f3b8,Cezary Oleksiejczuk,,17,3,0
16a64f93f6678b7b,Martin Sano,Spartan,4,3,1
e979c76341f19b22,Tom Duquesnoy,Fire Kid,16,2,0
e81dd0bb8a64b550,Charlie Ward,,3,3,0
4c8d6fde2dde07c4,Dan Lauzon,The Upgrade,17,6,0
87e4a3a5080ee7ce,Elisha Ellison,The Snack Panther,5,2,0
34c2b3656f88f7ef,Aaron Phillips,The Dragon,12,5,0
1bcaac2d99b90fce,Sergio Moraes,The Panther,14,6,1
fcaae0385b514f11,Frank Shamrock,,23,10,2
c727c7d31c50c4cf,Anthony Hamilton,Freight Train,15,9,0
e50cd77732d39967,Aisling Daly,Ais the Bash,16,6,0
b35ba64b6a2bbcb3,Jose Maria,No Chance,37,7,0
d3c554d6e11fc9d6,Jianping Yang,,11,4,1
96924b0019b3aff1,Gaston Bolanos,The Dreamkiller,8,5,0
056c493bbd76a918,Henry Cejudo,Triple C,16,6,0
7a15f3694c5cbc02,John Alessio,The Natural,35,17,0
99bd87a300079ed9,Erik Koch,Phoenix,16,6,0
714e1e0681ddb703,Derrick Krantz,D-Rock,22,12,0
59279a7c978f7da0,Al Iaquinta,Raging,14,7,1
82cbb809d5ee565c,Mara Romero Borella,,12,9,0
fe2babf95de24fb1,Raul Rosas Jr.,El Nino Problema,12,1,0
322a56923b396b4d,DaMarques Johnson,Darkness,15,15,0
ce175eaafe867d1f,Micheal Gillmore,The Gentleman,6,5,0
679a9054e2815943,Tomasz Drwal,Gorilla,21,5,1
7a47e068f8017019,Val Woodburn,The Animal,7,2,0
449c890bd90f3374,Hector Sandoval,Kid Alex,14,4,0
8e893f269d5696b2,Tyler Toner,,15,7,0
ab2b4ff41d6ebe0f,Alex Perez,,26,10,0
92aafa8f4b26269b,Walel Watson,The Gazelle,14,10,0
b7d524c77c27389b,Marcus Davis,The Irish Hand Grenade,22,11,0
5987b2458f4b5290,Ricky Simon,,22,7,0
990bd63726a577f8,Tim Williams,The South Jersey Strangler,15,5,0
528b071cf3da7c56,Luana Carolina,Dread,11,5,0
8d03ce87ca14e778,Francis Ngannou,The Predator,17,3,0
aee8eecfc4bfb1e7,Bobby Southworth,,10,6,0
1cf1310684a841f5,Mostapha Al-Turk,,6,6,0
792be9a24df82ed6,Brandon Moreno,The Assassin Baby,23,10,2
9ba2226646046b63,Frankie Saenz,,13,7,0
a24e080000fa7a35,Darrel Gholar,,5,6,0
cd12227edd3f134b,Keith Wisniewski,The Polish Connection,28,15,1
e3964ece586e0635,Jacqueline Cavalcanti,,10,1,0
0e9869d712e81f8f,Sam Adkins,The Experience,7,20,2
8be158ca1e5ea6a0,Dwight Grant,The Body Snatcher,11,6,0
0232cabbc30a2372,Adrian Yanez,,17,6,0
899923ff6ab13917,Bevon Lewis,,7,3,0
33a331684283900f,Eddie Alvarez,,29,6,0
ac29d508d78384c9,Marcelo Golm,,6,3,0
